"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.884750000E-3,1.056919312E-1,-9.867117941E-2,-4.683622661E-1,4.901734370E-1
1.190375000E-2,3.463821117E-2,-7.892922521E-2,1.213914129E-1,1.488808362E-1
2.192275000E-2,-3.481030203E-3,-2.983541787E-2,1.871538779E-1,1.895490537E-1
3.194175000E-2,-4.284930993E-2,-5.492289662E-3,-4.653535813E-2,6.349620590E-2
4.195975000E-2,-2.797881726E-2,-1.732413054E-2,-5.401482403E-2,6.324982948E-2
5.197875000E-2,-2.425574888E-2,-1.875786781E-3,5.819207489E-2,6.307279533E-2
6.199775000E-2,1.152248662E-2,-1.114654720E-2,4.916923642E-2,5.171679633E-2
7.201675000E-2,8.640313625E-2,-4.845587611E-2,-4.566967785E-3,9.916819590E-2
8.203475000E-2,2.083376459E-1,-3.665093243E-2,-7.874386847E-2,2.257176607E-1
9.205375000E-2,2.314534435E-1,-6.565253735E-2,-4.674556553E-2,2.450838633E-1
1.020727500E-1,2.406977818E-1,-8.875313222E-2,2.908989787E-2,2.581835835E-1
1.120917500E-1,1.750702413E-1,-7.784865975E-2,3.764846742E-2,1.952624140E-1
1.221097500E-1,5.176624071E-2,-4.326120973E-2,3.516778618E-2,7.607922929E-2
1.321287500E-1,2.034772575E-2,2.310761154E-2,5.258050203E-2,6.093193619E-2
1.421477500E-1,4.094085183E-2,-1.864677072E-2,3.145685077E-1,3.177691008E-1
1.521667500E-1,6.316334110E-2,-6.932692766E-2,3.725497904E-1,3.841733683E-1
1.621857500E-1,7.661661487E-2,-5.626366317E-2,-1.409576583E-1,1.700140197E-1
1.722037500E-1,1.121791977E-1,-4.497093558E-2,-3.873683891E-1,4.057842115E-1
1.822227500E-1,1.256647043E-1,-5.265417695E-3,1.084351525E-1,1.660648211E-1
1.922417500E-1,1.432453814E-1,-5.554445565E-2,3.529139632E-1,3.849060811E-1
2.022607500E-1,8.803787157E-2,-1.080963063E-1,-1.327741876E-1,1.925213317E-1
2.122787500E-1,6.169960029E-2,-9.828233957E-2,-3.701369369E-1,3.879015481E-1
2.222977500E-1,1.033198986E-1,-5.905921698E-2,-3.410797834E-2,1.237996233E-1
2.323167500E-1,1.049885112E-1,-2.849348187E-2,3.192158747E-1,3.372435924E-1
2.423357500E-1,7.104593597E-2,2.016821623E-2,2.009869283E-1,2.141261949E-1
2.523547500E-1,4.508517556E-2,8.726969361E-2,-8.094739169E-2,1.272837488E-1
2.623727500E-1,9.899420153E-2,1.017321968E-1,-1.605475849E-1,2.143007672E-1
2.723917500E-1,1.515503645E-1,-2.144290924E-2,-7.866873175E-2,1.720932326E-1
2.824107500E-1,1.398678104E-1,-1.583507860E-1,3.693247586E-2,2.144807301E-1
2.924297500E-1,1.190775600E-1,-2.151582402E-1,1.809385800E-1,3.053052626E-1
3.024477500E-1,1.423047837E-1,-1.763648880E-1,2.164472589E-1,3.133761973E-1
3.124667500E-1,1.823489285E-1,-9.564641476E-2,1.511306441E-1,2.554209074E-1
3.224857500E-1,2.680804024E-1,-3.410330057E-2,6.673076391E-2,2.783579208E-1
3.325047500E-1,2.466296725E-1,-2.995528579E-3,-2.880630791E-2,2.483243281E-1
3.425227500E-1,2.507659563E-1,-4.862018287E-2,-1.231233582E-1,2.835610134E-1
3.525417500E-1,2.756888724E-1,-7.849185348E-2,-1.855613887E-1,3.414650120E-1
3.625607500E-1,2.312409703E-1,-3.885591745E-2,-8.210514039E-2,2.484419907E-1
3.725797500E-1,1.786286740E-1,-7.746976018E-3,2.076103619E-1,2.739895640E-1
3.825987500E-1,1.713728276E-1,-4.578311384E-2,4.157639301E-1,4.520225493E-1
3.926167500E-1,1.754633204E-1,-2.122539282E-3,3.463452011E-1,3.882613557E-1
4.026357500E-1,2.115683056E-1,6.138991714E-3,5.643340784E-1,6.027203226E-1
4.126547500E-1,2.902910510E-1,4.605383992E-2,7.614592132E-1,8.162168730E-1
4.226737500E-1,2.974789236E-1,2.123124003E-2,5.002632129E-1,5.824154511E-1
4.326917500E-1,3.435928071E-1,-1.778775626E-1,1.894494948E-1,4.307987412E-1
4.427107500E-1,3.803372584E-1,-3.732377154E-1,2.628794137E-1,5.941955978E-1
4.527297500E-1,4.651986666E-1,-6.261379784E-1,4.596127850E-1,9.053742208E-1
4.627487500E-1,3.560651008E-1,-5.868967295E-1,4.444225958E-1,8.177662079E-1
4.727677500E-1,2.377967223E-1,-7.398464423E-1,3.098287547E-1,8.366085683E-1
4.827857500E-1,4.034158532E-2,-9.927654165E-1,2.524962205E-1,1.025165819E0
4.928047500E-1,-3.815331968E-1,-1.094173093E0,4.593324110E-1,1.246502548E0
5.028237500E-1,-3.624484330E-1,-7.191092920E-1,4.192956483E-1,9.079074189E-1
5.128427500E-1,-5.537660036E-1,-1.471071750E-1,2.597520304E-1,6.291012835E-1
5.228607500E-1,-6.324189113E-1,3.543155408E-1,-6.672023892E-2,7.279730573E-1
5.328797500E-1,-9.065636437E-2,7.562753642E-1,-2.091750768E-1,7.898893692E-1
5.428987500E-1,5.980642901E-1,8.403805447E-1,-1.586527947E-1,1.043595259E0
5.529177500E-1,8.702041219E-1,7.506398177E-1,-1.952341452E-1,1.165689376E0
5.629367500E-1,9.220045323E-1,8.766946775E-1,-8.608069155E-1,1.536123192E0
5.729547500E-1,7.866192705E-1,1.727086240E-1,-3.313915318E-1,8.708722598E-1
5.829737500E-1,6.436456385E-1,-8.834242380E-1,1.590585914E-1,1.104544127E0
5.929927500E-1,6.305271909E-1,-1.148444025E0,9.737543643E-2,1.313761848E0
6.030117500E-1,1.890083954E-1,-1.242666643E0,2.499915656E-1,1.281577286E0
6.130297500E-1,-2.135256976E-1,-1.095041989E0,2.733362818E-1,1.148661353E0
6.230487500E-1,-4.863265937E-1,-7.997961903E-1,3.025366920E-1,9.837255469E-1
6.330677500E-1,-5.818369145E-1,-5.423520559E-1,2.736920848E-1,8.411820879E-1
6.430867500E-1,-4.262302268E-1,-3.071764576E-1,5.416538984E-2,5.281699271E-1
6.531057500E-1,-2.272716976E-1,-1.226892024E-1,-1.648027499E-1,3.063739729E-1
6.631237500E-1,3.927655153E-2,-1.029583579E-1,1.168202059E-1,1.605927504E-1
6.731427500E-1,2.392103232E-1,-1.400133330E-1,4.055159537E-1,4.911909007E-1
6.831617500E-1,3.334202964E-1,-2.715862101E-1,2.359138092E-1,4.904931080E-1
6.931807500E-1,3.934626496E-1,-1.666678655E-1,-6.000763535E-2,4.314996527E-1
7.031987500E-1,1.578698525E-1,3.990800697E-1,-2.598181039E-1,5.016903821E-1
7.132177500E-1,9.881458238E-2,5.624144375E-1,-3.905764639E-2,5.723633645E-1
7.232367500E-1,2.019822706E-1,9.959913254E-2,-1.684495121E-1,2.812331115E-1
7.332557500E-1,2.713966873E-1,-2.085672587E-1,-1.409465486E-1,3.701653587E-1
7.432747500E-1,2.107081436E-1,-3.148252004E-1,-2.456450379E-1,4.515022849E-1
7.532927500E-1,2.880203944E-1,-2.875853616E-1,-2.811407067E-1,4.946728058E-1
7.633117500E-1,3.290055024E-1,-2.228976148E-1,-1.516634716E-1,4.253584088E-1
7.733307500E-1,1.642979159E-1,-1.244047755E-1,-2.147169216E-1,2.976133562E-1
7.833497500E-1,-1.121475497E-1,-1.225927234E-2,-4.129591669E-1,4.280918549E-1
7.933687500E-1,-2.966414561E-1,-2.237963319E-2,-1.016276778E-1,3.143647346E-1
8.033867500E-1,-4.573365370E-1,3.917634487E-2,1.734424496E-1,4.906870463E-1
8.134057500E-1,-4.551870275E-1,1.656907958E-1,-6.148829654E-2,4.882924128E-1
8.234247500E-1,-2.237520392E-1,1.967956442E-1,-1.412741388E-1,3.297755038E-1
8.334437500E-1,-4.839228764E-1,-4.627919161E-1,-2.356194019E-2,6.700096066E-1
8.434627500E-1,-5.858668886E-2,6.556190550E-2,1.440416260E-1,1.687564920E-1
8.534807500E-1,1.452357736E0,1.834049356E0,3.401430595E-1,2.364059503E0
8.634997500E-1,1.960974135E-1,7.664068347E-1,1.412709229E-1,8.036112901E-1
8.735187500E-1,-1.331403841E0,-5.783937085E-1,2.044321078E-1,1.465935864E0
8.835377500E-1,-1.811087340E-1,-2.136695391E-1,3.688382703E-1,4.631379008E-1
8.935557500E-1,6.387314191E-1,5.228761500E-1,9.027106941E-2,8.303771192E-1
9.035750000E-1,3.058911666E-1,5.986432010E-1,1.734104361E-1,6.942724733E-1
9.135940000E-1,4.468003660E-4,-1.084190726E-2,4.951018757E-1,4.952207729E-1
9.236130000E-1,-7.881491214E-2,-4.719457322E-1,7.367450792E-1,8.784861275E-1
9.336320000E-1,1.478687017E-1,-3.883679706E-1,7.743876994E-1,8.788464840E-1
9.436500000E-1,1.007288146E-1,-3.430941492E-1,7.306538884E-1,8.134586615E-1
9.536690000E-1,-9.433174141E-2,-4.321601075E-1,7.706523518E-1,8.885751985E-1
