"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.950000089E-5,6.994821260E-2,8.548453867E-2,-4.571132465E-1,4.702689432E-1
1.004850000E-2,1.955439015E-1,-3.354723036E-2,-3.143960148E-1,3.717629462E-1
2.006750000E-2,2.822531395E-2,-8.372452676E-2,1.317278284E-1,1.586148968E-1
3.008650000E-2,-1.213775623E-1,-9.880800426E-2,5.297036514E-2,1.652313346E-1
4.010550000E-2,-1.071712220E-1,-1.240907800E-1,-1.929224485E-1,2.531862233E-1
5.012450000E-2,-4.442665117E-2,-9.774907351E-2,-1.758611503E-1,2.060479384E-1
6.014350000E-2,4.197971933E-2,5.630868673E-4,-6.414951056E-2,7.666663947E-2
7.016250000E-2,-7.655193005E-3,1.519983709E-2,-1.381458785E-1,1.391902323E-1
8.018150000E-2,6.656026276E-2,7.696689963E-3,-2.889009851E-1,2.965691940E-1
9.020050000E-2,2.517230907E-1,-7.443505526E-4,-1.721958232E-1,3.049860160E-1
1.002195000E-1,3.746713796E-1,-3.339578748E-2,-7.213768423E-2,3.830114447E-1
1.102385000E-1,3.806109447E-1,-8.151310980E-2,-1.270284212E-1,4.094451099E-1
1.202575000E-1,4.285557376E-1,-6.565370679E-2,-1.384182125E-1,4.551154040E-1
1.302765000E-1,2.171832041E-1,-3.583992362E-2,-1.365536816E-1,2.590365847E-1
1.402955000E-1,1.284499341E-1,-2.832859039E-2,-1.717371091E-1,2.163227433E-1
1.503155000E-1,1.810569862E-1,-1.503085256E-2,-1.573362941E-1,2.403378210E-1
1.603345000E-1,1.666127007E-1,-4.567610979E-2,-1.234617658E-1,2.123414859E-1
1.703535000E-1,8.503368180E-2,-6.375102282E-2,1.565299630E-3,1.062890875E-1
1.803725000E-1,1.403075393E-1,-9.980378509E-2,3.819372028E-2,1.763682550E-1
1.903915000E-1,2.764202860E-1,-1.744043165E-1,-1.081749514E-1,3.442773014E-1
2.004105417E-1,2.583306271E-1,-1.686144036E-1,-1.569487698E-1,3.461191216E-1
2.104295417E-1,1.716116498E-1,-1.312542039E-1,-2.001439060E-1,2.945094354E-1
2.204485417E-1,1.477125263E-1,-6.896849334E-2,1.942868963E-1,2.536198761E-1
2.304675417E-1,1.555560362E-1,4.241160929E-2,2.136534593E-1,2.676643899E-1
2.404865417E-1,1.306649873E-1,2.543538809E-4,-3.930211848E-1,4.141727361E-1
2.505055417E-1,2.356574454E-1,-3.740522325E-2,-4.201557738E-1,4.831815979E-1
2.605245417E-1,2.148763313E-1,-7.903622925E-2,-1.174736322E-1,2.573297837E-1
2.705435417E-1,1.033996217E-1,-5.411598086E-2,-6.728800356E-2,1.347133868E-1
2.805625417E-1,7.200089592E-2,9.586510062E-2,-2.658436596E-3,1.199221156E-1
2.905815417E-1,7.306227520E-2,2.033684993E-1,6.780665159E-2,2.264830779E-1
3.006005417E-1,8.438429369E-2,1.277926522E-1,-6.139839560E-2,1.649891935E-1
3.106195417E-1,8.590778572E-2,-1.743288875E-2,-1.586076249E-1,1.812192924E-1
3.206385417E-1,6.812181652E-2,-7.870176852E-2,-1.025762424E-1,1.461384130E-1
3.306585417E-1,4.529998764E-2,-9.084994376E-2,4.801207244E-2,1.122985319E-1
3.406775417E-1,2.859573506E-2,-7.376964211E-2,8.738926917E-2,1.178836737E-1
3.506965417E-1,7.014319897E-2,-7.347260356E-2,1.177629232E-1,1.555197670E-1
3.607155417E-1,6.975344550E-2,-1.209747988E-1,1.719385457E-1,2.215023896E-1
3.707345417E-1,2.582536083E-2,-1.515358561E-1,-1.433860070E-1,2.102132535E-1
3.807535417E-1,7.848558599E-2,-2.133643144E-1,-1.942506436E-1,2.990278087E-1
3.907725417E-1,1.315411743E-1,-2.730830973E-1,7.423127979E-2,3.120700907E-1
4.007915417E-1,1.414301316E-1,-3.587243414E-1,2.552859271E-1,4.624462561E-1
4.108105417E-1,1.894072669E-1,-4.392036635E-1,2.632075886E-1,5.459424928E-1
4.208295417E-1,2.950353173E-1,-4.757885224E-1,2.286047897E-1,6.047153928E-1
4.308485417E-1,4.153351830E-1,-4.884097373E-1,2.225909284E-1,6.786708386E-1
4.408675417E-1,4.087242479E-1,-4.534778863E-1,2.624350253E-1,6.645072209E-1
4.508865417E-1,4.023169055E-1,-1.399607080E-1,3.542930290E-2,4.274378642E-1
4.609055417E-1,1.714596295E0,7.638469237E-1,-1.125292267E-1,1.880416285E0
4.709245417E-1,1.857460730E0,4.601881510E-1,3.361956042E-1,1.942925882E0
4.809435417E-1,1.247711328E0,5.316826415E-1,-9.369183674E-2,1.359502905E0
4.909625417E-1,1.047725955E0,7.515361959E-1,-4.428087643E-1,1.363310651E0
5.009815417E-1,5.421828886E-1,4.807843834E-1,3.390814975E-2,7.254417073E-1
5.110015417E-1,-6.298663824E-1,-4.244704342E-1,4.566495623E-1,8.862480645E-1
5.210205417E-1,-8.971353740E-1,-5.644486839E-1,2.073839284E-1,1.080028837E0
5.310395417E-1,-6.565336327E-1,-5.172072744E-1,-7.016761109E-2,8.387271721E-1
5.410585417E-1,-4.908707939E-1,-4.093623984E-1,-6.508579597E-2,6.424701319E-1
5.510775417E-1,-3.890496098E-1,-2.240582871E-1,1.591172098E-1,4.763192221E-1
5.610965417E-1,-2.460642650E-1,-2.658728957E-2,2.890343016E-1,3.805198208E-1
5.711155417E-1,-3.022267530E-1,-4.848920524E-2,6.611972988E-2,3.131517714E-1
5.811345417E-1,-1.808590214E-1,3.507510781E-2,-1.381324299E-1,2.302624958E-1
5.911535417E-1,-4.258274999E-2,-1.555055308E-1,-3.042379394E-2,1.640757994E-1
6.011725417E-1,-1.336656322E-1,-3.022583646E-1,2.830812514E-2,3.317046429E-1
6.111915417E-1,-3.534762461E-1,-4.150470614E-2,5.371997818E-2,3.599360127E-1
6.212105417E-1,-5.123257264E-1,-1.082810783E-1,1.534155898E-1,5.456544558E-1
6.312295417E-1,-5.686840414E-1,-1.365295619E-1,2.359959626E-1,6.306631071E-1
