"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.953666666E-3,2.283384490E-1,6.896089196E-2,-3.823019229E-1,4.506093787E-1
1.234566667E-2,1.719134027E-1,6.527246833E-3,3.560644430E-1,3.954474814E-1
2.236466667E-2,-1.294650290E-1,-8.963313818E-2,4.786631598E-1,5.038985153E-1
3.238366667E-2,-3.679231445E-1,-1.336790442E-1,1.810752587E-1,4.313070559E-1
4.240166667E-2,-3.090677395E-1,-1.270921558E-1,-2.012611628E-2,3.347840263E-1
5.242066667E-2,-1.750976867E-1,-3.646908402E-2,-8.375668645E-2,1.974952569E-1
6.243866667E-2,1.584237300E-2,8.129968643E-3,-4.690928757E-2,5.017527711E-2
7.245766667E-2,1.362992912E-1,-2.170954227E-2,-2.898245528E-2,1.410275992E-1
8.247666667E-2,3.759655511E-1,-3.542067826E-2,3.391955182E-2,3.791507036E-1
9.249466667E-2,4.510468333E-1,-5.970884264E-2,1.046745157E-1,4.668673752E-1
1.025136667E-1,3.614048878E-1,-6.051634312E-2,1.265232217E-1,3.876646055E-1
1.125326667E-1,3.477608851E-1,-4.285015047E-2,1.829124539E-1,3.952603375E-1
1.225506667E-1,2.651700969E-1,-5.245595634E-2,2.899990922E-1,3.964420275E-1
1.325696667E-1,1.220817498E-1,2.485592902E-2,3.587866142E-2,1.296497173E-1
1.425886667E-1,5.326378573E-2,-1.180786729E-2,-4.549421753E-1,4.582017454E-1
1.526066667E-1,-4.980961617E-2,5.849379122E-2,1.747231360E-1,1.908682680E-1
1.626256667E-1,-6.381216276E-2,1.383416140E-1,7.718080540E-1,7.867007477E-1
1.726446667E-1,-2.998353515E-2,-9.062950373E-2,1.503168578E-1,1.780670578E-1
1.826626667E-1,1.161383109E-1,-2.319952977E-1,-2.227887104E-1,3.419718335E-1
1.926816667E-1,2.359383675E-1,-1.510283178E-1,-2.178380191E-1,3.548659869E-1
2.026996667E-1,1.456451884E-1,1.321821570E-2,-1.488525689E-1,2.086727806E-1
2.127186667E-1,4.613581058E-2,1.861537117E-1,-1.891091868E-2,1.927156979E-1
2.227376667E-1,7.303669363E-2,1.032290840E-1,2.627382034E-1,2.915852636E-1
2.327556667E-1,1.525273246E-1,-4.665142536E-2,3.016334434E-1,3.412091359E-1
2.427746667E-1,1.364375413E-1,-1.782301497E-1,1.262353925E-1,2.575200250E-1
2.527936667E-1,8.856320735E-2,-2.384050155E-1,7.503907263E-2,2.651626963E-1
2.628116667E-1,6.346779831E-2,-2.265053469E-1,1.749441607E-1,2.931523375E-1
2.728306667E-1,6.466242101E-2,-9.697841048E-2,2.407940416E-1,2.675216090E-1
2.828486667E-1,1.571073756E-2,-3.193222940E-2,1.414194421E-1,1.458285060E-1
2.928676667E-1,-1.885102127E-2,5.128008127E-4,6.382703662E-2,6.655459842E-2
3.028866667E-1,-7.377950929E-2,4.571411669E-2,2.859054565E-2,9.138170362E-2
3.129046667E-1,-1.134533060E-1,4.304310858E-2,1.233572468E-2,1.219693894E-1
3.229236667E-1,-9.065344077E-2,-2.425191164E-2,-3.789405048E-2,1.012035602E-1
3.329426667E-1,-1.736867901E-2,-1.741558099E-1,-3.548075840E-2,1.785799578E-1
3.429606667E-1,1.146348273E-1,-3.169372147E-1,1.469624564E-2,3.373519251E-1
3.529796667E-1,2.980555139E-1,-3.220424187E-1,1.319500226E-1,4.582130697E-1
3.629986667E-1,2.005604471E-1,-4.857428223E-1,6.909932479E-2,5.300427332E-1
3.730166667E-1,3.368009007E-1,-4.346855199E-1,5.659964418E-1,7.891377067E-1
3.830356667E-1,6.484170395E-1,-3.644575363E-1,7.963638747E-1,1.089710684E0
3.930536667E-1,7.098994888E-1,-2.803178573E-1,5.614483313E-1,9.475017752E-1
4.030726667E-1,7.311894934E-1,-2.280057424E-1,3.321959625E-1,8.348525926E-1
4.130916667E-1,8.577062832E-1,5.621513128E-3,5.420661271E-2,8.594358769E-1
4.231096667E-1,7.594756915E-1,1.333498460E-1,2.593916957E-1,8.135536609E-1
4.331286667E-1,3.639554067E-1,-1.391520381E-2,4.828629224E-1,6.048254069E-1
4.431476667E-1,1.948761494E-1,7.126878798E-2,4.260561991E-1,4.738985530E-1
4.531656667E-1,1.457047934E-1,1.203415453E-1,3.600339715E-1,4.066158322E-1
4.631846667E-1,1.250366402E-1,4.767117977E-2,3.212770182E-1,3.480310693E-1
4.732036667E-1,8.312730677E-2,-5.270446301E-2,2.468459098E-1,2.657457671E-1
4.832216667E-1,-1.160320012E-1,-1.765233475E-1,7.450931489E-2,2.239990079E-1
4.932406667E-1,-2.983371852E-1,-2.082415688E-1,-1.474201472E-1,3.925586922E-1
5.032596667E-1,-3.662769706E-1,-2.212592250E-1,-1.644020694E-1,4.584130280E-1
5.132776667E-1,-4.409947387E-1,-2.527950132E-1,-1.020017534E-1,5.184457888E-1
5.232966667E-1,-5.321059068E-1,-2.398200417E-1,-3.234328866E-2,5.845480620E-1
5.333146667E-1,-4.850006279E-1,-2.754342628E-1,2.393382311E-2,5.582673822E-1
5.433336667E-1,-3.957765390E-1,-3.443127090E-1,-1.051694825E-2,5.246912583E-1
5.533526667E-1,-3.575641076E-1,-3.191819608E-1,-7.468575463E-2,4.850847113E-1
5.633706667E-1,-2.927805944E-1,-3.009871799E-1,-8.146340847E-2,4.277266018E-1
5.733896667E-1,-1.917726849E-1,-3.071250021E-1,-7.180366203E-2,3.691318132E-1
5.834086667E-1,-7.760713320E-2,-2.890407336E-1,-8.575818837E-2,3.113227901E-1
5.934266667E-1,-4.889666481E-2,-3.464101052E-1,-6.448835671E-2,3.557380961E-1
6.034456667E-1,4.321013795E-2,-1.455103004E-1,4.388686180E-2,1.580076586E-1
6.134646667E-1,4.130531609E-2,-5.035856009E-2,-2.050486967E-2,6.828296560E-2
6.234826667E-1,-9.861475378E-3,-1.531993890E-1,2.818608644E-1,3.209561471E-1
6.335016667E-1,1.418461244E-1,-9.723685741E-2,4.217767681E-1,4.554898150E-1
6.435196667E-1,1.356201737E-1,-1.560914218E-1,3.811683670E-1,4.336435028E-1
6.535386667E-1,7.851275727E-2,-1.940486223E-1,2.983495740E-1,3.644606826E-1
6.635576667E-1,2.012525747E-2,-1.460634470E-1,2.332030401E-2,1.492762309E-1
6.735756667E-1,-3.413913304E-2,-1.745253539E-1,-7.725217067E-2,1.938877960E-1
6.835946667E-1,2.496880952E-1,-2.932086289E-1,4.934231400E-2,3.882655134E-1
6.936136667E-1,2.581657356E-1,-5.086025119E-2,5.044900920E-1,5.689873154E-1
7.036316667E-1,9.347940009E-2,1.010726309E-1,3.824948810E-1,4.065174153E-1
7.136506667E-1,1.296863644E-1,4.264315903E-1,3.713859022E-1,5.801637206E-1
7.236696667E-1,9.654573480E-2,2.393475866E-1,3.291373571E-1,4.182579897E-1
7.336876667E-1,1.367580966E-1,2.371747613E-2,1.433391561E-1,1.995279663E-1
7.437066667E-1,7.076285765E-2,1.696160316E-2,-8.440514266E-2,1.114419405E-1
7.537256667E-1,8.636518417E-2,-5.210395396E-2,-4.780203680E-1,4.885460463E-1
7.637436667E-1,-7.958919313E-3,3.562942386E-2,2.893184398E-1,2.916126881E-1
7.737626667E-1,-2.624793179E-2,7.121908665E-2,7.315662003E-1,7.354931798E-1
7.837806667E-1,3.180273915E-1,-7.049403191E-3,1.529759888E-1,3.529770092E-1
7.937996667E-1,5.231771354E-1,7.923854291E-2,6.627173921E-2,5.332776061E-1
8.038186667E-1,5.098055400E-1,1.948695713E-1,-3.491372466E-2,5.468956085E-1
8.138366667E-1,1.908474544E-1,1.156351215E-1,-1.001622377E-1,2.445949836E-1
8.238556667E-1,-2.402045326E-1,2.036982822E-1,1.679086447E-2,3.153936284E-1
