"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.606250005E-4,-4.202346381E-2,-2.428822285E-1,1.107462645E-2,2.467395302E-1
1.097862500E-2,6.103330093E-2,-1.539542645E-1,1.783681440E-1,2.433971532E-1
2.099762500E-2,1.291783875E-1,-7.665465832E-2,2.130570433E-1,2.606842844E-1
3.101562500E-2,1.146986168E-1,-2.863966227E-3,6.093675792E-2,1.299125223E-1
4.103462500E-2,1.174045437E-1,-1.510335803E-3,9.523243189E-2,1.511797741E-1
5.105262500E-2,1.036095368E-1,4.285015047E-2,1.057925034E-1,1.541529282E-1
6.107162500E-2,4.777725192E-2,6.114901185E-2,8.973517209E-2,1.186350225E-1
7.108962500E-2,-2.744416248E-2,9.368175030E-2,1.220965871E-1,1.563234755E-1
8.110762500E-2,-8.348714808E-2,5.020360887E-2,1.013144132E-1,1.405528960E-1
9.112662500E-2,-6.826518293E-2,-1.685109079E-2,9.368935168E-2,1.171400405E-1
1.011446250E-1,5.827872332E-2,-2.186273932E-2,1.234405696E-1,1.382460242E-1
1.111636250E-1,6.081570229E-2,-3.926288366E-2,1.519293737E-1,1.682933697E-1
1.211816250E-1,8.974841969E-2,-5.792544186E-2,6.109258622E-2,1.230546210E-1
1.312006250E-1,1.660305007E-1,-4.864474118E-2,1.055042356E-2,1.733313285E-1
1.412186250E-1,4.988044057E-2,-7.403861403E-2,5.823446721E-2,1.065881227E-1
1.512366250E-1,8.100968281E-2,-6.933803737E-2,1.730775833E-3,1.066458050E-1
1.612556250E-1,1.014003308E-1,-8.431801915E-2,1.453243589E-1,1.962414960E-1
1.712736250E-1,6.607209334E-2,-8.386544466E-2,1.261560166E-1,1.652703084E-1
1.812926250E-1,5.979017375E-2,-1.147855210E-1,1.722775380E-1,2.154765204E-1
1.913106250E-1,3.899545577E-2,-1.095633727E-1,1.684255385E-1,2.046752067E-1
2.013296250E-1,2.209338457E-2,-9.502427101E-2,1.465942280E-1,1.760897425E-1
2.113476250E-1,-8.667117627E-3,-1.123244280E-1,9.404047698E-2,1.467498121E-1
2.213656250E-1,-1.294423711E-2,-9.418344140E-2,-2.826792553E-2,9.918240531E-2
2.313846250E-1,7.188020574E-2,-7.245109499E-2,-3.153812706E-2,1.068203099E-1
2.414026250E-1,1.326811164E-1,-9.335255206E-2,1.048803377E-1,1.931809071E-1
2.514216250E-1,6.598327048E-3,-6.230500638E-2,5.636774361E-2,8.427795833E-2
2.614396250E-1,3.022123360E-2,1.257969975E-2,5.586371362E-2,6.474817608E-2
2.714586250E-1,5.372241757E-2,2.110610962E-2,1.655460772E-1,1.753199067E-1
2.814766250E-1,6.271389121E-2,-9.567798972E-3,2.995092961E-1,3.061541987E-1
2.914956250E-1,9.091925154E-2,6.081104279E-4,2.914787301E-1,3.053301987E-1
3.015136250E-1,4.123356893E-2,2.384786904E-2,1.531271759E-1,1.603647719E-1
3.115316250E-1,-4.395914800E-2,8.854672551E-2,-9.267544448E-3,9.929157402E-2
3.215506250E-1,-2.447026860E-2,1.670678151E-1,1.893151550E-1,2.536743519E-1
3.315686250E-1,1.387384207E-1,2.438312316E-1,2.331805283E-1,3.647947062E-1
3.415876250E-1,1.360285377E-1,3.159361714E-1,-2.534903933E-1,4.272900736E-1
3.516056250E-1,7.523555735E-2,2.203318566E-1,-2.622137082E-1,3.506601558E-1
3.616246250E-1,1.355030558E-1,1.179096884E-1,5.490988657E-2,1.878266977E-1
3.716426250E-1,1.120182440E-1,2.078568220E-2,-8.644435912E-2,1.430131420E-1
3.816606250E-1,-1.173808168E-1,-1.067754203E-1,2.672864601E-2,1.609150927E-1
3.916796250E-1,-3.467952540E-1,-1.292415923E-1,1.575934254E-1,4.022511965E-1
4.016976250E-1,-1.610480700E-1,-1.644774985E-1,1.101773304E-1,2.552026107E-1
4.117166250E-1,-4.037668688E-2,-3.870564401E-1,1.749902076E-1,4.266902125E-1
4.217346250E-1,-1.324664231E-1,-5.271188897E-1,1.135921043E-1,5.552520538E-1
4.317536250E-1,-2.100210227E-1,-4.970706332E-1,4.299457669E-2,5.413285305E-1
4.417716250E-1,-1.196559593E-1,-4.262707919E-1,1.267328444E-1,4.605274698E-1
4.517896250E-1,-3.654888025E-2,-4.941645670E-1,1.608487165E-1,5.209671290E-1
4.618086250E-1,-8.716919459E-2,-3.976235282E-1,1.337725997E-2,4.072860049E-1
4.718266250E-1,-1.523985397E-1,-4.555156410E-1,-3.599092796E-2,4.816795210E-1
4.818456250E-1,-1.666272274E-1,-5.404628205E-1,-8.095236182E-2,5.713300081E-1
4.918636250E-1,-1.427403099E-1,-4.049506742E-1,-2.642929780E-1,5.041930412E-1
5.018826250E-1,-1.781374166E-1,3.125863016E-2,-4.791432162E-1,5.121408622E-1
5.119006250E-1,-1.601557849E-2,3.019326746E-2,-2.149255210E-1,2.176260824E-1
5.219186250E-1,2.797117934E-1,-5.880305046E-1,-1.174875194E-1,6.616811006E-1
5.319376250E-1,1.221514961E-1,-7.986425346E-1,-1.634320164E-1,8.242941890E-1
5.419556250E-1,-1.711635338E-1,-7.036089081E-1,-2.258438806E-1,7.585300978E-1
5.519746250E-1,-3.860181939E-1,-4.269215870E-1,-4.215877569E-1,7.134481931E-1
5.619926250E-1,-3.332454646E-1,-2.130035412E-1,-5.403368130E-2,3.991775131E-1
5.720116250E-1,-1.433419701E-1,-2.739829838E-1,-1.390299775E-1,3.390323443E-1
5.820296250E-1,-2.498094431E-1,-3.882685679E-1,-4.067020614E-1,6.152753900E-1
5.920486250E-1,-3.601759127E-1,-3.494430560E-1,-4.710974474E-1,6.883094816E-1
6.020666250E-1,-3.019924807E-1,-2.132859617E-1,-3.316809690E-1,4.966916801E-1
6.120846250E-1,-1.344164878E-1,-2.247166836E-1,-8.352747560E-2,2.748494484E-1
6.221036250E-1,-8.068702614E-2,-1.549746037E-1,-1.083777036E-1,2.056045977E-1
6.321216250E-1,-3.775782863E-2,-1.816817611E-1,2.059842512E-2,1.867035379E-1
6.421406250E-1,-3.805700507E-2,-2.179356676E-1,1.183487412E-1,2.508998115E-1
6.521586250E-1,-1.228959563E-1,-4.746459764E-1,3.114348386E-1,5.808475512E-1
6.621776250E-1,-2.182015515E-1,-7.560034686E-1,2.851260227E-1,8.369289160E-1
6.721956250E-1,-3.068309237E-1,-6.178477961E-1,8.739299677E-2,6.953550537E-1
6.822136250E-1,-2.447287427E-1,-6.096511692E-1,1.138289165E-1,6.667261265E-1
6.922326250E-1,-1.798998770E-1,-5.116635293E-1,7.862933613E-2,5.480384160E-1
7.022506250E-1,-2.030556732E-1,-4.740747035E-1,5.537203588E-2,5.186949906E-1
7.122696250E-1,-2.485971326E-1,-5.600697041E-1,1.287784563E-1,6.261489428E-1
7.222876250E-1,-1.250507101E-1,-6.526913542E-1,8.829116564E-2,6.704021284E-1
7.323066250E-1,6.095356867E-3,-8.384024316E-1,5.221088491E-2,8.400486695E-1
7.423246250E-1,3.069247350E-2,-1.111020675E0,-1.115923748E-1,1.117032599E0
7.523436250E-1,7.547768690E-3,-1.136446123E0,-2.438171983E-1,1.162331100E0
7.623621250E-1,1.255771057E-1,-1.180529451E0,-3.383731073E-1,1.234469827E0
7.723801250E-1,-5.259479117E-2,-1.176593106E0,-4.181063247E-1,1.249780160E0
7.823991250E-1,3.686881430E-2,-1.154426311E0,-2.619061446E-1,1.184337049E0
7.924171250E-1,9.046523351E-2,-1.316283088E0,-1.383357577E-1,1.326620484E0
8.024361250E-1,9.513825517E-2,-1.421800772E0,-6.850597858E-2,1.426626017E0
8.124541250E-1,1.286553724E-1,-1.512829056E0,-8.046700638E-2,1.520420631E0
8.224731250E-1,7.885374131E-2,-1.556819998E0,-9.750699878E-2,1.561862361E0
8.324911250E-1,5.905614719E-3,-1.645379587E0,-2.208847839E-2,1.645538442E0
8.425091250E-1,-9.234019803E-2,-1.769341729E0,1.740903942E-1,1.780282093E0
8.525281250E-1,-2.154032020E-1,-1.900110614E0,1.367407195E-1,1.917163767E0
8.625461250E-1,-2.316393301E-1,-2.142505184E0,1.700604200E-2,2.155057876E0
8.725651250E-1,-3.812981752E-1,-2.254676415E0,-1.453020664E-1,2.291302408E0
8.825831250E-1,-1.075057558E-1,-2.379051955E0,7.637391888E-2,2.382704066E0
8.926021250E-1,1.444201419E-1,-2.698715726E0,3.966786182E-1,2.731533942E0
9.026201250E-1,2.396870358E-1,-2.760740066E0,4.800518004E-1,2.812398499E0
9.126391250E-1,3.614623732E-1,-2.556124941E0,2.624605338E-1,2.594863251E0
9.226571250E-1,1.265196038E-1,-2.321535818E0,7.865276885E-1,2.454416747E0
9.326751250E-1,-1.511669516E-1,-1.870973938E0,1.208529501E0,2.232473624E0
9.426941250E-1,-7.425974842E-2,-1.804857717E0,9.269814630E-1,2.030349852E0
9.527121250E-1,-2.940734686E-2,-2.008917941E0,6.657102529E-1,2.116550549E0
9.627311250E-1,-8.695672140E-2,-1.580765516E0,6.888430075E-1,1.726524189E0
9.727491250E-1,-1.849256868E-2,-1.126980066E0,7.825612298E-1,1.372161842E0
9.827681250E-1,2.215727637E-1,-1.113927326E0,1.165110490E0,1.627086670E0
9.927861250E-1,3.096118595E-1,-1.151902068E0,1.070555019E0,1.602755729E0
1.002804125E0,5.637550214E-1,-1.543848535E0,1.010686548E0,1.929449486E0
1.012823125E0,5.414755583E-1,-1.904068594E0,9.609197259E-1,2.200463522E0
1.022841125E0,4.467452926E-1,-1.978192577E0,8.969476783E-1,2.217508144E0
1.032860125E0,2.873307336E-1,-1.843278016E0,8.507711931E-1,2.050376653E0
1.042878125E0,8.731533844E-2,-1.745963976E0,8.529159518E-1,1.945116910E0
1.052897125E0,-2.579742438E-2,-1.504525425E0,7.191642559E-1,1.667770814E0
1.062915125E0,-2.360606657E-1,-9.198009360E-1,4.731803718E-1,1.060970341E0
1.072934125E0,-1.329903610E-1,-5.621062893E-1,4.417526110E-1,7.271831171E-1
1.082952125E0,9.836182516E-2,-4.945113069E-1,4.923054448E-1,7.046851299E-1
1.092970125E0,3.650473377E-1,-4.750465107E-1,2.672868986E-1,6.560267009E-1
1.102989125E0,4.340900176E-1,-4.039449531E-1,-6.394427329E-2,5.964013234E-1
1.113007125E0,3.846664273E-1,-1.204333466E-1,-4.834129992E-1,6.294128844E-1
1.123026125E0,5.131315093E-1,2.568079573E-1,-6.723084703E-1,8.838851464E-1
1.133044125E0,5.231563778E-1,7.812154931E-1,-7.553912652E-1,1.206070564E0
1.143063125E0,6.002879497E-1,1.047919278E0,-7.422563723E-1,1.417541872E0
1.153081125E0,4.108480297E-1,1.420467022E0,-8.843425432E-1,1.722958037E0
1.163099125E0,1.848615684E-1,1.327331986E0,-9.839352438E-1,1.662562049E0
1.173118125E0,1.726692832E-1,1.413964918E0,-6.156439805E-1,1.551814738E0
1.183136125E0,1.059390492E-1,1.752873631E0,-5.005602515E-1,1.826020157E0
1.193155125E0,8.305348568E-3,1.588230656E0,-5.293791309E-1,1.674152878E0
1.203173125E0,-3.466775788E-2,1.233966570E0,-3.688496724E-1,1.288380934E0
1.213192125E0,-8.235443277E-2,1.256281884E0,-2.506420684E-1,1.283685270E0
1.223210125E0,-5.048177188E-2,1.079794205E0,-2.060228428E-1,1.100431436E0
1.233229125E0,-7.060253430E-2,8.716660720E-1,-1.346941209E-1,8.848327329E-1
1.243247125E0,-1.619412870E-1,7.857266200E-1,9.161125124E-3,8.022937292E-1
1.253265125E0,-3.554432860E-1,7.279508668E-1,6.213485241E-2,8.124734666E-1
1.263284125E0,-5.160167813E-1,5.942560351E-1,6.558412492E-2,7.897561847E-1
1.273302125E0,-6.220852733E-1,4.194798356E-1,-2.421565890E-2,7.506928918E-1
1.283321125E0,-6.402752303E-1,2.526225203E-1,-9.528973460E-2,6.948745511E-1
1.293339125E0,-5.229590343E-1,1.310630000E-1,-1.496825811E-1,5.595252779E-1
1.303358125E0,-3.964669855E-1,6.173256397E-2,-2.352612600E-1,4.651288429E-1
1.313376125E0,-3.657480534E-1,-1.511388302E-2,-2.527271855E-1,4.448270431E-1
1.323395125E0,-3.267625105E-1,-1.180073369E-1,-3.051822647E-1,4.624237067E-1
1.333413125E0,-2.591476475E-1,-2.395826447E-1,-4.363999236E-1,5.612506037E-1
1.343431125E0,-1.833960369E-1,-2.343447089E-1,-5.326629272E-1,6.101486237E-1
1.353450125E0,-1.284182861E-1,-2.293494326E-1,-5.051891997E-1,5.694809443E-1
1.363468125E0,-9.573244192E-2,-2.435254222E-1,-5.244063663E-1,5.860643043E-1
1.373487125E0,-4.353860529E-2,-2.573809844E-1,-5.234424528E-1,5.849210056E-1
1.383505125E0,-2.052045615E-2,-2.731018084E-1,-5.667878625E-1,6.294872262E-1
1.393524125E0,-1.352543207E-2,-2.980045152E-1,-5.674100062E-1,6.410489401E-1
1.403542125E0,-3.134796465E-2,-3.870798290E-1,-5.613101909E-1,6.825559459E-1
1.413560125E0,3.392094053E-2,-4.660698652E-1,-5.958923784E-1,7.572710717E-1
1.423579125E0,1.115637783E-1,-4.853557366E-1,-6.979292151E-1,8.573924755E-1
1.433597125E0,2.568508612E-1,-5.066758543E-1,-8.146583506E-1,9.931570946E-1
1.443616125E0,3.450243882E-1,-4.463711804E-1,-9.815323305E-1,1.132119594E0
1.453634125E0,2.311656509E-1,-2.962445033E-1,-1.011553982E0,1.079092129E0
1.463653125E0,3.638209207E-1,-2.156745493E-1,-9.249214889E-1,1.017035365E0
1.473671125E0,3.568874386E-1,7.294401526E-3,-8.776085973E-1,9.474274126E-1
1.483690125E0,4.106340947E-1,1.811672062E-1,-9.472781718E-1,1.048226050E0
1.493708125E0,4.930298417E-1,2.498211193E-1,-1.182791008E0,1.305558725E0
1.503726125E0,4.457696481E-1,2.283869809E-1,-1.540019486E0,1.619423110E0
1.513745125E0,4.296591803E-1,2.931513262E-1,-1.440638893E0,1.531660906E0
1.523763125E0,5.741182244E-1,4.138273323E-1,-1.736267538E0,1.874963936E0
1.533782125E0,6.332774287E-1,3.636687469E-1,-2.076718453E0,2.201375659E0
1.543800125E0,7.834986115E-1,5.422251713E-1,-1.784439240E0,2.022894365E0
1.553819125E0,7.366752780E-1,7.674049544E-1,-1.744578332E0,2.043319453E0
1.563837125E0,4.509065001E-1,8.552663863E-1,-1.787799050E0,2.032491748E0
1.573855125E0,2.351969771E-1,1.027658676E0,-1.742746545E0,2.036802763E0
1.583874125E0,-6.594720047E-2,1.163302385E0,-1.642325002E0,2.013666527E0
1.593892125E0,-4.633026704E-1,1.289940796E0,-1.766715159E0,2.236040938E0
1.603911125E0,-6.984171653E-1,1.309464065E0,-1.946544230E0,2.447757569E0
1.613929125E0,-8.047535328E-1,1.175995520E0,-1.994083994E0,2.450910991E0
1.623948125E0,-7.910547490E-1,1.068150644E0,-2.003116773E0,2.403994638E0
1.633966125E0,-6.129523975E-1,8.544448525E-1,-1.925193415E0,2.193662766E0
1.643985125E0,-2.566863718E-1,4.912245870E-1,-1.889313584E0,1.968932530E0
1.654003125E0,-1.280739033E-1,1.497197109E-1,-1.889515167E0,1.899759585E0
1.664022125E0,-1.032220674E-1,-2.584568721E-1,-1.913276497E0,1.933411933E0
1.674040125E0,-1.327740780E-1,-5.683224642E-1,-1.975572001E0,2.059976726E0
1.684058125E0,-2.172192010E-1,-5.813483065E-1,-1.919232617E0,2.017078053E0
1.694077125E0,-2.732961187E-1,-5.298214728E-1,-1.729616769E0,1.829474167E0
1.704095125E0,-1.964390006E-1,-4.925975132E-1,-1.520858599E0,1.610668019E0
1.714114125E0,-9.473432221E-2,-5.498645586E-1,-1.366200768E0,1.475747323E0
1.724132125E0,-1.423113618E-1,-5.120669872E-1,-1.426567276E0,1.522353217E0
1.734151125E0,-9.543660935E-2,-1.863384837E-1,-1.433243773E0,1.448453620E0
1.744169125E0,1.546711332E-1,5.081604624E-1,-1.340846071E0,1.442226890E0
1.754187125E0,7.886123671E-1,1.808042695E0,-1.117106823E0,2.266904388E0
1.764206375E0,1.500622555E0,3.505050273E0,-6.515060505E-1,3.868036401E0
1.774224375E0,2.426699892E0,5.548532860E0,-1.989292932E-1,6.059262507E0
1.784243375E0,3.565982353E0,7.991436995E0,6.330945571E-1,8.773830640E0
1.794261375E0,4.554354756E0,1.101921823E1,1.962967597E0,1.208381394E1
1.804280375E0,4.530500163E0,1.102027775E1,1.962732539E0,1.207577212E1
1.814298375E0,4.487854373E0,1.102157349E1,1.954862187E0,1.205974317E1
1.824317375E0,1.359316695E0,8.015747378E0,1.853645568E0,8.338821848E0
1.834335375E0,9.379884079E-1,5.926008638E0,2.443936168E0,6.478443071E0
1.844353375E0,1.021526847E-1,3.653028098E0,2.893928237E0,4.661530875E0
1.854372375E0,-1.111144636E0,9.412882841E-1,2.645004373E0,3.019389701E0
1.864390375E0,-2.215757933E0,-1.471690385E0,2.028270471E0,3.345046623E0
1.874409375E0,-2.613744573E0,-3.362719688E0,1.520987091E0,4.522493353E0
1.884427375E0,-2.099006870E0,-4.711070661E0,1.252981131E0,5.307539762E0
1.894446375E0,-1.215978123E0,-5.491709619E0,1.190601865E0,5.749348670E0
1.904464375E0,-3.451822630E-1,-5.788380969E0,1.134655706E0,5.908633396E0
1.914482375E0,2.417961813E-1,-5.799171420E0,1.273703663E0,5.942320723E0
1.924501375E0,3.756711803E-1,-5.673632285E0,1.369442464E0,5.848641278E0
1.934519375E0,2.044860484E-1,-5.290658956E0,1.345698676E0,5.462947158E0
1.944538375E0,1.927644275E-2,-4.759670963E0,1.357406555E0,4.949483995E0
1.954556375E0,2.241899957E-1,-3.995249258E0,1.341592761E0,4.220444162E0
1.964575375E0,5.870518269E-1,-3.060332685E0,1.382109872E0,3.408884523E0
1.974593375E0,6.367296249E-1,-1.831675971E0,1.637235001E0,2.537912513E0
1.984612375E0,4.289287169E-1,-2.887653297E-1,1.825767360E0,1.897575219E0
1.994630375E0,2.452082509E-1,1.426813005E0,1.918425263E0,2.403388842E0
2.004648375E0,-6.862811230E-2,3.571067092E0,2.007629215E0,4.097292406E0
2.014667375E0,-1.712041354E-1,5.377238678E0,2.109439180E0,5.778731721E0
2.024685375E0,1.090672219E0,4.584419970E0,1.590574220E0,4.973570015E0
2.034704375E0,6.057885716E-1,3.882213224E0,1.481744088E0,4.199300520E0
2.044722375E0,-2.467073308E-1,3.033883390E0,1.614923780E0,3.445764319E0
2.054741375E0,-7.842667164E-1,2.038709505E0,1.266478259E0,2.524951071E0
2.064759375E0,-8.282284956E-1,1.032151676E0,1.370165180E0,1.904902135E0
2.074777375E0,-9.002020193E-1,-1.004130650E-1,1.477756287E0,1.733265733E0
2.084796375E0,-9.669158994E-1,-1.010677777E0,1.414239153E0,1.989087305E0
2.094814375E0,-8.838849255E-1,-1.662851068E0,1.232631651E0,2.250712559E0
2.104833375E0,-7.215534282E-1,-2.001735222E0,8.442831226E-1,2.289191394E0
2.114851375E0,-5.260897066E-1,-2.186958641E0,4.184994037E-1,2.287946728E0
2.124870375E0,-3.616328926E-1,-2.075447561E0,5.245502079E-1,2.171039808E0
2.134888375E0,-2.314795732E-1,-1.783403113E0,4.657891989E-2,1.798966106E0
2.144907375E0,-1.838358023E-1,-1.559145436E0,3.606049521E-1,1.610827745E0
